trial,scenario,wan_bw,wan_delay_r1,wan_delay_h3,label,expected_bytes,downloaded_bytes,downloaded_fraction,http_code,curl_time_total,curl_exit,success,attempts_to_kill,time_to_close_s
1,off,5.0,20ms,5ms,wan5mbit,3985444,1506338,0.378,200,2.709286,56,True,1,0.0029451847076416016
2,off,5.0,20ms,5ms,wan5mbit,3985444,1595402,0.4003,200,2.810977,56,True,1,0.003952741622924805
3,off,5.0,20ms,5ms,wan5mbit,3985444,1605538,0.4029,200,2.826001,56,True,1,0.004908084869384766
4,off,5.0,20ms,5ms,wan5mbit,3985444,1520818,0.3816,200,2.688305,56,True,1,0.002347230911254883
5,off,5.0,20ms,5ms,wan5mbit,3985444,1485354,0.3727,200,2.667505,56,True,1,0.004704952239990234
6,off,5.0,20ms,5ms,wan5mbit,3985444,1533138,0.3847,200,2.705402,56,True,1,0.0031185150146484375
7,off,5.0,20ms,5ms,wan5mbit,3985444,1675754,0.4205,200,2.941115,56,True,1,0.004705667495727539
8,off,5.0,20ms,5ms,wan5mbit,3985444,1502730,0.3771,200,2.649261,56,True,1,0.0021347999572753906
9,off,5.0,20ms,5ms,wan5mbit,3985444,1490410,0.374,200,2.628726,56,True,1,0.0028772354125976562
10,off,5.0,20ms,5ms,wan5mbit,3985444,1562098,0.392,200,2.755456,56,True,1,0.001760721206665039
11,off,5.0,20ms,5ms,wan5mbit,3985444,1467242,0.3682,200,2.621840,56,True,1,0.002430438995361328
12,off,5.0,20ms,5ms,wan5mbit,3985444,1512130,0.3794,200,2.669908,56,True,1,0.004815101623535156
13,off,5.0,20ms,5ms,wan5mbit,3985444,1512866,0.3796,200,2.671758,56,True,1,0.0017921924591064453
14,off,5.0,20ms,5ms,wan5mbit,3985444,1485354,0.3727,200,2.623266,56,True,1,0.0028390884399414062
15,off,5.0,20ms,5ms,wan5mbit,3985444,1499834,0.3763,200,2.643535,56,True,1,0.0025451183319091797
16,off,5.0,20ms,5ms,wan5mbit,3985444,1488250,0.3734,200,2.628869,56,True,1,0.0040798187255859375
17,off,5.0,20ms,5ms,wan5mbit,3985444,1577290,0.3958,200,2.815229,56,True,1,0.002974271774291992
18,off,5.0,20ms,5ms,wan5mbit,3985444,1543274,0.3872,200,2.724942,56,True,1,0.0014035701751708984
19,off,5.0,20ms,5ms,wan5mbit,3985444,1501994,0.3769,200,2.652379,56,True,1,0.002094268798828125
20,off,5.0,20ms,5ms,wan5mbit,3985444,1569338,0.3938,200,2.765066,56,True,1,0.0036363601684570312
1,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.807263,0,False,757,4.050044775009155
2,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.808047,0,False,773,4.093330383300781
3,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.808490,0,False,767,4.0858564376831055
4,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.812538,0,False,797,4.193408489227295
5,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.807902,0,False,763,4.167355298995972
6,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.806489,0,False,744,4.050281524658203
7,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.809584,0,False,762,4.131074666976929
8,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.803843,0,False,786,4.183276891708374
9,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.811633,0,False,780,4.161763429641724
10,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.809460,0,False,754,4.028640270233154
11,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.805580,0,False,782,4.183857440948486
12,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.806040,0,False,753,4.152207612991333
13,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.812911,0,False,777,4.106822490692139
14,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.817393,0,False,775,4.02045750617981
15,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.805359,0,False,767,4.138723611831665
16,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.803922,0,False,769,4.14789342880249
17,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.797824,0,False,765,4.1274638175964355
18,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.806263,0,False,774,4.146700859069824
19,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.806713,0,False,773,4.139270305633545
20,on,5.0,20ms,5ms,wan5mbit,3985444,3985444,1.0,200,6.804715,0,False,789,4.188547849655151
