trial,scenario,wan_bw,wan_delay_r1,wan_delay_h3,label,expected_bytes,downloaded_bytes,downloaded_fraction,http_code,curl_time_total,curl_exit,success,attempts_to_kill,time_to_close_s
1,off,50.0,20ms,5ms,wan50mbit,3985444,3891930,0.9765,200,0.986275,56,True,1,0.0024433135986328125
2,off,50.0,20ms,5ms,wan50mbit,3985444,3138970,0.7876,200,0.817330,56,True,1,0.0025916099548339844
3,off,50.0,20ms,5ms,wan50mbit,3985444,3123042,0.7836,200,0.817670,56,True,1,0.002778768539428711
4,off,50.0,20ms,5ms,wan50mbit,3985444,3377890,0.8476,200,0.865448,56,True,1,0.0024881362915039062
5,off,50.0,20ms,5ms,wan50mbit,3985444,2590178,0.6499,200,0.726621,56,True,1,0.0011630058288574219
6,off,50.0,20ms,5ms,wan50mbit,3985444,2719762,0.6824,200,0.753195,56,True,1,0.0014345645904541016
7,off,50.0,20ms,5ms,wan50mbit,3985444,2622034,0.6579,200,0.740151,56,True,1,0.002048015594482422
8,off,50.0,20ms,5ms,wan50mbit,3985444,3079602,0.7727,200,0.800093,56,True,1,0.0026917457580566406
9,off,50.0,20ms,5ms,wan50mbit,3985444,3033266,0.7611,200,0.808458,56,True,1,0.0027129650115966797
10,off,50.0,20ms,5ms,wan50mbit,3985444,2506194,0.6288,200,0.711330,56,True,1,0.001802682876586914
11,off,50.0,20ms,5ms,wan50mbit,3985444,2613346,0.6557,200,0.728054,56,True,1,0.001605987548828125
12,off,50.0,20ms,5ms,wan50mbit,3985444,2551082,0.6401,200,0.712800,56,True,1,0.0014810562133789062
13,off,50.0,20ms,5ms,wan50mbit,3985444,3202682,0.8036,200,0.828303,56,True,1,0.004484415054321289
14,off,50.0,20ms,5ms,wan50mbit,3985444,3508210,0.8803,200,0.869950,56,True,1,0.002155303955078125
15,off,50.0,20ms,5ms,wan50mbit,3985444,3267842,0.8199,200,0.837467,56,True,1,0.0019466876983642578
16,off,50.0,20ms,5ms,wan50mbit,3985444,3341690,0.8385,200,0.848884,56,True,1,0.0019779205322265625
17,off,50.0,20ms,5ms,wan50mbit,3985444,3542226,0.8888,200,0.889096,56,True,1,0.001035451889038086
18,off,50.0,20ms,5ms,wan50mbit,3985444,3794178,0.952,200,0.923958,56,True,1,0.0015680789947509766
19,off,50.0,20ms,5ms,wan50mbit,3985444,3500970,0.8784,200,0.878042,56,True,1,0.0018754005432128906
20,off,50.0,20ms,5ms,wan50mbit,3985444,2647362,0.6643,200,0.730536,56,True,1,0.0024535655975341797
1,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.955346,0,False,28,0.03812122344970703
2,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.962826,0,False,213,0.25391077995300293
3,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.955987,0,False,207,0.2637758255004883
4,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.974961,0,False,204,0.23378372192382812
5,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.957224,0,False,170,0.23057270050048828
6,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.955165,0,False,187,0.2174694538116455
7,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.955876,0,False,214,0.2562568187713623
8,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.960713,0,False,122,0.1936473846435547
9,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.956028,0,False,126,0.25191521644592285
10,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.953719,0,False,156,0.20915770530700684
11,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.952926,0,False,192,0.22432804107666016
12,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.947386,0,False,64,0.17181897163391113
13,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.953368,0,False,109,0.16342711448669434
14,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.954760,0,False,67,0.12165474891662598
15,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.956395,0,False,78,0.12662172317504883
16,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.951807,0,False,145,0.1720738410949707
17,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.953085,0,False,175,0.21520757675170898
18,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.952011,0,False,100,0.12630176544189453
19,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.953902,0,False,189,0.2403578758239746
20,on,50.0,20ms,5ms,wan50mbit,3985444,3985444,1.0,200,0.955868,0,False,66,0.1209251880645752
